elapsed_s,ns_per_line,resid_pct,phase
904.584,517.5,,2
905.853,532.5,,2
907.124,538.7,,2
908.377,518.0,37.56,2
910.021,524.5,,2
911.297,541.3,,2
912.541,519.6,,2
913.835,547.7,,2
915.131,552.8,37.71,2
916.813,543.8,,2
918.074,531.4,,2
919.368,551.5,,2
920.622,520.3,,2
921.869,518.4,37.86,2
923.521,515.1,,2
924.751,510.6,,2
926.053,553.2,,2
927.332,533.4,,2
928.605,531.7,38.00,2
930.256,526.8,,2
931.533,534.2,,2
932.783,523.3,,2
934.063,542.4,,2
935.319,522.5,38.14,2
936.963,524.1,,2
938.230,534.3,,2
939.496,533.8,,2
940.771,533.0,,2
942.028,523.6,38.28,2
943.710,547.5,,2
944.994,545.2,,2
946.307,564.3,,2
947.578,535.8,,2
948.881,547.5,38.44,2
950.543,536.1,,2
951.813,536.6,,2
953.080,523.8,,2
954.351,537.5,,2
955.654,547.6,38.58,2
957.334,547.4,,2
958.603,527.3,,2
959.901,553.9,,2
961.192,549.9,,2
962.448,527.1,38.73,2
964.092,517.1,,2
965.369,530.0,,2
966.658,548.6,,2
967.929,538.3,,2
969.249,561.3,38.87,2
970.903,528.7,,2
972.144,518.1,,2
973.456,561.0,,2
974.766,553.3,,2
976.041,539.6,39.02,2
977.741,551.5,,2
979.020,541.8,,2
980.312,550.9,,2
981.589,530.8,,2
982.912,563.6,39.16,2
984.645,572.8,,2
985.919,539.4,,2
987.230,553.8,,2
988.492,531.1,,2
989.793,552.4,39.32,2
991.502,565.8,,2
992.782,542.4,,2
994.059,532.3,,2
995.390,575.0,,2
996.710,568.3,39.47,2
998.434,564.5,,2
999.717,544.6,,2
1001.030,556.8,,2
1002.330,555.4,,2
1003.639,555.7,39.63,2
1005.347,554.1,,2
1006.616,535.3,,2
1007.917,556.2,,2
1009.237,557.4,,2
1010.505,535.2,39.78,2
1012.215,557.9,,2
1013.535,559.0,,2
1014.868,569.5,,2
1016.165,553.1,,2
1017.437,536.3,39.94,2
1019.163,570.3,,2
1020.487,560.7,,2
1021.838,579.7,,2
1023.117,537.3,,2
1024.416,548.0,40.09,2
1026.136,563.7,,2
1027.487,580.6,,2
1028.792,559.5,,2
1030.078,538.5,,2
1031.383,557.9,40.24,2
1033.136,584.8,,2
1034.452,561.5,,2
1035.758,550.7,,2
1037.044,537.2,,2
1038.339,550.8,40.39,2
1039.998,529.6,,2
1041.336,571.8,,2
1042.645,561.1,,2
1043.938,551.0,,2
1045.297,587.4,40.53,2
1046.996,541.5,,2
1048.310,560.4,,2
1049.625,565.0,,2
1050.937,564.5,,2
1052.243,555.7,40.69,2
1053.943,559.7,,2
1055.256,564.0,,2
1056.559,555.7,,2
1057.851,547.2,,2
1059.157,559.7,40.83,2
1060.864,554.7,,2
1062.167,557.4,,2
1063.448,544.7,,2
1064.749,555.7,,2
1066.093,576.1,40.99,2
1067.813,571.2,,2
1069.190,604.0,,2
1070.504,564.2,,2
1071.822,562.6,,2
1073.121,553.2,41.13,2
1074.856,576.1,,2
1076.152,546.0,,2
1077.514,594.4,,2
1078.795,543.7,,2
1080.100,558.6,41.28,2
1081.797,557.7,,2
1083.114,557.6,,2
1084.433,568.2,,2
1085.743,561.4,,2
1087.063,568.6,41.42,2
1088.778,558.5,,2
1090.082,557.7,,2
1091.415,569.1,,2
1092.782,589.1,,2
1094.072,548.9,41.57,2
1095.788,569.2,,2
1097.129,582.7,,2
1098.439,561.7,,2
1099.735,554.4,,2
1101.019,539.8,41.73,2
1102.753,573.7,,2
1104.139,598.6,,2
1105.446,551.1,,2
1106.756,561.3,,2
1108.068,554.7,41.87,2
1109.793,569.2,,2
1111.087,551.8,,2
1112.378,541.5,,2
1113.755,600.1,,2
1115.120,597.1,42.02,2
1116.834,557.8,,2
1118.161,565.1,,2
1119.519,587.5,,2
1120.875,591.8,,2
1122.204,574.4,42.17,2
1123.957,585.0,,2
1125.306,587.0,,2
1126.687,599.1,,2
1127.994,559.7,,2
1129.300,554.8,42.34,2
1131.010,564.8,,2
1132.390,604.8,,2
1133.734,575.3,,2
1135.087,583.2,,2
1136.446,589.5,42.48,2
1138.172,566.9,,2
1139.491,567.6,,2
1140.832,582.6,,2
1142.187,590.5,,2
1143.518,568.8,42.63,2
1145.306,608.5,,2
1146.611,560.2,,2
1147.923,561.5,,2
1149.292,601.2,,2
1150.634,574.8,42.79,2
1152.354,572.6,,2
1153.660,559.4,,2
1154.990,576.1,,2
1156.329,570.4,,2
1157.664,568.7,42.92,2
1159.410,576.4,,2
1160.729,560.1,,2
1162.048,560.2,,2
1163.359,563.7,,2
1164.700,582.0,43.06,2
1166.412,561.5,,2
1167.777,589.7,,2
1169.132,590.0,,2
1170.487,590.5,,2
1171.811,561.6,43.22,2
1173.581,602.2,,2
1174.945,596.3,,2
1176.276,574.8,,2
1177.648,595.5,,2
1179.032,605.2,43.37,2
1180.802,594.3,,2
1182.177,594.8,,2
1183.493,565.6,,2
1184.806,563.5,,2
1186.170,596.4,43.51,2
1187.922,592.2,,2
1189.290,598.9,,2
1190.643,588.6,,2
1191.975,575.8,,2
1193.314,577.2,43.68,2
1195.061,589.2,,2
1196.437,604.3,,2
1197.773,577.8,,2
1199.128,590.3,,2
1200.506,605.0,43.82,2
1202.253,590.4,,2
1203.598,577.9,,2
1204.936,575.1,,2
1206.270,577.4,,2
1207.598,574.7,43.97,2
1209.372,604.3,,2
1210.729,591.8,,2
1212.102,601.7,,2
1213.434,577.5,,2
1214.782,579.8,44.12,2
1216.549,603.0,,2
1217.889,580.5,,2
1219.244,586.0,,2
1220.655,616.2,,2
1222.069,627.9,44.27,2
1223.824,593.3,,2
1225.172,584.0,,2
1226.549,604.0,,2
1227.928,605.7,,2
1229.250,570.9,44.43,2
1231.027,597.6,,2
1232.368,583.1,,2
1233.756,603.0,,2
1235.158,614.9,,2
1236.554,616.1,44.57,2
1238.327,602.6,,2
1239.757,630.6,,2
1241.119,594.5,,2
1242.497,605.4,,2
1243.867,599.5,44.75,2
1245.641,606.3,,2
1246.977,578.4,,2
1248.342,596.7,,2
1249.688,585.5,,2
1251.085,609.0,44.88,2
1252.849,600.9,,2
1254.196,574.9,,2
1255.564,596.7,,2
1256.926,584.3,,2
1258.275,586.4,45.03,2
1260.067,606.9,,2
1261.423,591.9,,2
1262.805,607.6,,2
1264.151,577.3,,2
1265.519,594.8,45.18,2
1267.333,631.1,,2
1268.693,585.0,,2
1270.114,631.9,,2
1271.496,608.0,,2
1272.902,622.6,45.33,2
1274.673,603.9,,2
1276.048,593.6,,2
1277.401,589.3,,2
1278.767,590.7,,2
1280.167,609.2,45.48,2
1281.952,613.8,,2
1283.346,613.2,,2
1284.745,608.0,,2
1286.117,601.7,,2
1287.512,603.3,45.64,2
1289.299,609.7,,2
1290.724,634.4,,2
1292.101,604.9,,2
1293.474,603.0,,2
1294.852,597.6,45.79,2
1296.643,617.7,,2
1297.968,571.6,,2
1299.358,602.6,,2
1300.743,609.1,,2
1302.134,613.7,45.94,2
1303.961,633.3,,2
1305.342,607.0,,2
1306.730,612.6,,2
1308.101,594.2,,2
1309.470,596.7,46.10,2
1311.230,598.4,,2
1312.606,594.6,,2
1314.049,647.7,,2
1315.454,622.7,,2
1316.811,591.6,46.25,2
1318.640,639.0,,2
1320.075,631.4,,2
1321.468,615.9,,2
1322.857,603.9,,2
1324.270,618.0,46.41,2
1326.079,629.1,,2
1327.494,628.2,,2
1328.913,622.0,,2
1330.329,629.8,,2
1331.748,623.7,46.58,2
1333.506,592.8,,2
1334.918,620.1,,2
1336.312,615.4,,2
1337.718,622.9,,2
1339.090,600.7,46.73,2
1340.846,595.7,,2
1342.220,601.8,,2
1343.606,610.7,,2
1344.982,603.6,,2
1346.343,590.4,46.87,2
1348.160,623.8,,2
1349.539,600.6,,2
1350.923,610.2,,2
1352.312,612.1,,2
1353.699,601.9,47.02,2
1355.477,600.3,,2
1356.867,612.8,,2
1358.240,601.7,,2
1359.623,602.9,,2
1361.028,611.6,47.16,2
1362.821,616.8,,2
1364.217,610.5,,2
1365.601,609.9,,2
1367.035,640.1,,2
1368.434,617.3,47.33,2
1370.229,619.5,,2
1371.632,620.8,,2
1373.023,607.5,,2
1374.470,644.0,,2
1375.885,628.0,47.48,2
1377.676,617.0,,2
1379.106,632.6,,2
1380.481,595.4,,2
1381.886,619.1,,2
1383.264,597.1,47.62,2
1385.061,618.5,,2
1386.447,601.6,,2
1387.869,627.8,,2
1389.283,626.8,,2
1390.697,628.0,47.77,2
1392.472,606.1,,2
1393.908,640.0,,2
1395.305,616.3,,2
1396.686,601.8,,2
1398.096,624.5,47.91,2
1399.876,609.3,,2
1401.302,628.4,,2
1402.702,619.0,,2
1404.162,653.7,,2
1405.600,642.1,48.07,2
1407.418,629.5,,2
1408.831,621.9,,2
1410.262,630.7,,2
1411.699,632.6,,2
1413.109,625.6,48.23,2
1414.972,656.5,,2
1416.363,612.3,,2
1417.762,613.5,,2
1419.208,641.7,,2
1420.663,653.1,48.38,2
1422.476,630.5,,2
1423.866,611.9,,2
1425.253,608.2,,2
1426.713,650.0,,2
1428.158,643.1,48.54,2
1429.974,630.3,,2
1431.397,632.2,,2
1432.838,644.8,,2
1434.281,645.8,,2
1435.692,627.0,48.70,2
1437.538,646.2,,2
1438.931,614.1,,2
1440.356,631.4,,2
1441.789,639.4,,2
1443.224,640.3,48.85,2
1445.006,611.2,,2
1446.428,630.8,,2
1447.825,617.5,,2
1449.216,603.4,,2
1450.624,619.0,48.99,2
1452.410,611.8,,2
1453.809,617.6,,2
1455.244,634.7,,2
1456.670,635.7,,2
1458.093,633.0,49.15,2
1459.935,641.7,,2
1461.357,629.2,,2
1462.771,621.3,,2
1464.234,659.5,,2
1465.653,631.2,49.29,2
1467.505,642.9,,2
1468.922,630.2,,2
1470.364,645.2,,2
1471.759,609.1,,2
