elapsed_s,ns_per_line,resid_pct,phase
830.783,517.9,,2
832.026,517.4,,2
833.325,547.5,,2
834.531,496.3,34.57,2
836.121,490.4,,2
837.350,510.7,,2
838.575,508.7,,2
839.818,519.6,,2
841.026,496.1,34.72,2
842.655,512.6,,2
843.894,507.4,,2
845.147,517.9,,2
846.355,497.2,,2
847.606,524.8,34.87,2
849.259,531.3,,2
850.458,491.9,,2
851.683,501.5,,2
852.919,509.1,,2
854.147,509.9,35.03,2
855.801,522.9,,2
857.036,511.1,,2
858.276,509.6,,2
859.493,500.1,,2
860.767,539.5,35.16,2
862.372,500.3,,2
863.580,497.4,,2
864.811,512.4,,2
866.057,522.4,,2
867.347,545.9,35.31,2
868.987,519.0,,2
870.234,522.6,,2
871.466,512.1,,2
872.714,513.0,,2
873.980,535.3,35.47,2
875.623,522.1,,2
876.899,535.0,,2
878.123,503.9,,2
879.339,502.1,,2
880.577,516.3,35.62,2
882.229,529.0,,2
883.515,547.1,,2
884.784,535.0,,2
886.068,536.1,,2
887.305,515.7,35.79,2
888.937,516.5,,2
890.175,517.0,,2
891.397,505.8,,2
892.685,538.2,,2
893.904,506.0,35.92,2
895.566,532.7,,2
896.813,518.6,,2
898.073,525.4,,2
899.345,530.7,,2
900.601,527.6,36.07,2
902.265,530.3,,2
903.522,528.4,,2
904.779,528.9,,2
906.002,508.5,,2
907.262,519.8,36.22,2
908.890,508.1,,2
910.165,540.1,,2
911.435,533.0,,2
912.712,541.8,,2
913.972,520.3,36.38,2
915.587,505.6,,2
916.865,541.6,,2
918.108,521.4,,2
919.337,510.7,,2
920.602,526.7,36.52,2
922.301,560.0,,2
923.563,522.7,,2
924.861,554.7,,2
926.091,511.2,,2
927.305,501.1,36.69,2
928.991,544.7,,2
930.244,514.1,,2
931.494,523.2,,2
932.743,524.3,,2
933.958,502.1,36.82,2
935.645,543.0,,2
936.879,514.6,,2
938.131,525.0,,2
939.425,546.5,,2
940.707,546.1,36.97,2
942.366,530.9,,2
943.642,540.1,,2
944.928,548.3,,2
946.227,549.3,,2
947.514,548.1,37.13,2
949.159,522.2,,2
950.412,526.3,,2
951.659,515.5,,2
952.940,538.9,,2
954.208,526.3,37.27,2
955.857,527.7,,2
957.198,568.7,,2
958.484,539.3,,2
959.817,571.8,,2
961.060,519.6,37.43,2
962.725,538.7,,2
963.983,529.6,,2
965.312,574.2,,2
966.605,551.7,,2
967.863,519.9,37.59,2
969.550,545.9,,2
970.842,551.0,,2
972.169,564.1,,2
973.419,519.1,,2
974.678,529.9,37.74,2
976.314,520.1,,2
977.633,562.7,,2
978.894,528.9,,2
980.213,563.8,,2
981.478,533.7,37.90,2
983.178,553.3,,2
984.419,518.5,,2
985.679,531.0,,2
986.961,544.1,,2
988.211,522.4,38.04,2
989.901,544.0,,2
991.162,531.8,,2
992.402,518.1,,2
993.684,545.3,,2
995.006,567.9,38.19,2
996.632,513.0,,2
997.893,524.6,,2
999.125,513.1,,2
1000.408,545.5,,2
1001.676,536.0,38.33,2
1003.358,539.9,,2
1004.643,545.6,,2
1005.877,514.3,,2
1007.161,545.8,,2
1008.446,547.8,38.48,2
1010.111,536.7,,2
1011.416,559.6,,2
1012.669,526.1,,2
1013.919,524.2,,2
1015.224,559.4,38.62,2
1016.904,537.3,,2
1018.176,538.0,,2
1019.497,565.9,,2
1020.829,569.8,,2
1022.128,549.3,38.78,2
1023.794,538.2,,2
1025.142,582.7,,2
1026.484,582.8,,2
1027.776,545.0,,2
1029.092,563.3,38.94,2
1030.775,540.2,,2
1032.080,558.9,,2
1033.371,540.6,,2
1034.664,540.9,,2
1035.961,553.8,39.09,2
1037.633,536.2,,2
1038.888,528.7,,2
1040.238,587.7,,2
1041.533,552.7,,2
1042.831,543.8,39.25,2
1044.525,554.2,,2
1045.801,542.2,,2
1047.130,574.5,,2
1048.394,534.6,,2
1049.657,532.0,39.40,2
1051.379,566.6,,2
1052.640,531.7,,2
1053.930,544.2,,2
1055.227,555.0,,2
1056.534,553.5,39.55,2
1058.183,528.4,,2
1059.482,556.4,,2
1060.785,558.2,,2
1062.091,556.8,,2
1063.370,542.3,39.69,2
1065.077,566.1,,2
1066.362,546.1,,2
1067.684,569.1,,2
1069.010,570.8,,2
1070.301,546.4,39.85,2
1071.962,535.9,,2
1073.288,568.2,,2
1074.578,549.4,,2
1075.847,536.4,,2
1077.135,548.2,40.00,2
1078.816,548.5,,2
1080.156,581.6,,2
1081.446,549.7,,2
1082.741,547.2,,2
1084.046,559.1,40.16,2
1085.725,539.2,,2
1087.131,623.0,,2
1088.397,535.5,,2
1089.677,539.2,,2
1090.973,548.5,40.30,2
1092.684,564.4,,2
1093.952,535.3,,2
1095.225,540.1,,2
1096.536,562.7,,2
1097.798,530.0,40.44,2
1099.518,566.3,,2
1100.814,553.1,,2
1102.106,541.7,,2
1103.405,555.0,,2
1104.694,540.4,40.58,2
1106.399,562.6,,2
1107.696,549.6,,2
1108.971,539.9,,2
1110.270,555.4,,2
1111.601,576.1,40.72,2
1113.266,532.4,,2
